acc_epoch,train_accus,valid_accus
0,0.8273167014122009,0.8424999713897705
1,0.8562333583831787,0.8643999695777893
2,0.878600001335144,0.8869999647140503
3,0.887499988079071,0.8948999643325806
4,0.8982166647911072,0.902999997138977
5,0.9081000089645386,0.9115999937057495
6,0.913100004196167,0.9168999791145325
7,0.9190500378608704,0.9221999645233154
8,0.9201833605766296,0.9231999516487122
9,0.9242833256721497,0.9261999726295471
10,0.9246166944503784,0.927299976348877
11,0.9258666634559631,0.9287999868392944
12,0.9232333302497864,0.9266999959945679
13,0.9275166988372803,0.9318999648094177
14,0.9299166798591614,0.934499979019165
